agencia_id,agencia_cod,agencia_nome,endereco_logradouro,endereco_bairro,endereco_cidade,endereco_uf,endereco_cep,telefone
49,0088,JOINVILLE,"RUA DR JOÃO COLIN, 1365",AMÉRICA,JOINVILLE,SC,89204-001,(47) 2101-7600
50,0093,EINSTEIN,"AV. ALBERT EINSTEIN, 665",MORUMBI,SÃO PAULO,SP,05652-000,(11) 3745-2200
51,0097,PAULISTA,"AV. PAULISTA, 2100",CERQUEIRA CÉSAR,SÃO PAULO,SP,01310-930,(11) 3175-7245
52,0112,MORUMBI,"AV LUIZ CARLOS BERRINI, 1062",BROOKLIN,SÃO PAULO,SP,04571-000,(11) 3472-3600
53,0115,CORPORATE SP,"AV PAULISTA, 2100",CERQUEIRA CÉSAR,SÃO PAULO,SP,01310-930,(11) 3175-4502
54,0121,SÃO JOSÉ DO RIO PRETO,"RUA BERNARDINO DE CAMPOS, 3390",CENTRO,SÃO JOSÉ DO RIO PRETO,SP,15015-300,(17) 3214-6200
55,0122,CAMBUÍ,"RUA OLAVO BILAC, 101",CAMBUÍ,CAMPINAS,SP,13024-110,(19) 3753-8500
56,0124,ANGÉLICA,"RUA MARANHÃO, 527",HIGIENÓPOLIS,SÃO PAULO,SP,01240-001,(11) 3829-2200
57,0125,HIGIENÓPOLIS,"RUA MARANHÃO, 527",HIGIENÓPOLIS,SÃO PAULO,SP,01240-001,(11) 3829-2200
58,0126,OSASCO,"RUA ANTÔNIO AGÚ, 1015",CENTRO,OSASCO,SP,06013-000,(11) 3652-2200
59,0131,UBERLÂNDIA,"AV. DOS VINHEDOS, 90",MORADA DA COLINA,UBERLÂNDIA,MG,38411-159,(34) 2101-1300
60,0133,MOEMA,"AV IBIRAPUERA, 2332",INDIANÓPOLIS,SÃO PAULO,SP,04028-002,(11) 5053-2250
61,0135,SÃO JOSÉ DOS CAMPOS,"AV. 9 DE JULHO, 95 - LJ. 02/04",CENTRO,SÃO JOSÉ DOS CAMPOS,SP,12243-000,(12) 3924-4400
62,0136,NOVO HAMBURGO,"RUA JÚLIO DE CASTILHOS, 400",CENTRO,NOVO HAMBURGO,RS,93510-130,(51) 2123-9900
63,0137,FLORIANÓPOLIS,"RUA ARCIPRESTE PAIVA, 187",CENTRO,FLORIANÓPOLIS,SC,88010-530,(48) 2107-3500
64,0138,BARRA,"AV. DAS AMÉRICAS, 3500",BARRA DA TIJUCA,RIO DE JANEIRO,RJ,22640-102,(21) 2122-8100
65,0140,TATUAPÉ,"RUA CANTAGALO, 74 - CONJS 501 A 505 BLOCO A",VILA GOMES CARDIM,SÃO PAULO,SP,03319-000,(11) 2095-6150
66,0141,ALPHAVILLE,"AL. RIO NEGRO, 1084",ALPHAVILLE,BARUERI,SP,06454-000,(11) 4166-6530
67,0142,MOINHOS DE VENTO,"RUA MARIANTE, 86 - LOJA 1",RIO BRANCO,PORTO ALEGRE,RS,90430-180,(51) 2139-6250
68,0144,BOA VIAGEM,"AV. CONSELHEIRO AGUIAR, 3190",BOA VIAGEM,RECIFE,PE,51020-021,(81) 2129-7800
69,0145,CUIABÁ,"AV. HISTORIADOR RUBENS DE MENDONÇA, 1757",BOSQUE DA SAÚDE,CUIABÁ,MT,78050-000,(65) 2121-7400
70,0146,BAURU,"RUA RIO BRANCO, 24-65",JARDIM ESTORIL IV,BAURU,SP,17016-190,(14) 3104-4010
71,0147,CRICIÚMA,"RUA SALDANHA DA GAMA, 3954",CENTRO,CRICIÚMA,SC,88802-470,(48) 2101-3200
72,0148,CHAPECÓ,"AV. GETÚLIO DORNELES VARGAS, 927N",CENTRO,CHAPECÓ,SC,89802-002,(49) 3361-1100
73,0149,RIBEIRÃO CENTRO,"RUA DUQUE DE CAXIAS, 521",CENTRO,RIBEIRÃO PRETO,SP,14015-020,(16) 3913-6560
74,0152,NOVA CAMPINAS,"RUA JOSÉ PIRES NETO, 314",CAMBUÍ,CAMPINAS,SP,13025-170,(19) 2103-6750
75,0153,MARINGÁ,"RUA SANTOS DUMONT, 2699",ZONA 01,MARINGÁ,PR,87013-050,(44) 2101-4700
76,0154,CASCAVEL,"RUA BARÃO DO CERRO AZUL, 1266",CENTRO,CASCAVEL,PR,85801-080,(45) 2101-5200
77,0155,NITERÓI,"RUA ATOR PAULO GUSTAVO, 29",ICARAÍ,NITERÓI,RJ,24220-031,(21) 3475-9800
78,0158,IGUATEMI,"AV. TANCREDO NEVES, 450",CAMINHO DAS ÁRVORES,SALVADOR,BA,41820-020,(71) 2106-8300
79,0159,ALDEOTA,"AV. SANTOS DUMONT, 2750",ALDEOTA,FORTALEZA,CE,60150-161,(85) 4006-5900
80,0160,BERRINI,"AV LUIZ CARLOS BERRINI, 1062",BROOKLIN,SÃO PAULO,SP,04571-000,(11) 5503-2212
81,0161,NATAL,"RUA TUIUTÍ, 762",PETRÓPOLIS,NATAL,RN,59014-160,(84) 4005-3650
82,0162,SAVASSI,"RUA ANTÔNIO DE ALBUQUERQUE, 330 - 14º ANDAR",SAVASSI,BELO HORIZONTE,MG,30112-010,(31) 2127-6200
83,0164,GRAÇA,"RUA DA GRAÇA, 109",BOM RETIRO,SÃO PAULO,SP,01125-001,(11) 2177-5566
84,0165,GABRIEL MONTEIRO,"AV. BRIG. FARIA LIMA, 1581",JARDIM PAULISTANO,SÃO PAULO,SP,01452-001,(11) 2141-5513
85,0166,PACAEMBU,"PRACA CHARLES MILLER, 8",PACAEMBU,SÃO PAULO,SP,01234-010,(11) 2886-5570
86,0169,ALTO DA BOA VISTA,"AV. PRESIDENTE VARGAS, 2164",ALTO BOA VISTA,RIBEIRÃO PRETO,SP,14025-700,(16) 2111-5555
87,0172,BATEL,"RUA COMENDADOR ARAÚJO, 652",CENTRO,CURITIBA,PR,80420-000,(41) 4501-6230
88,0173,COR. PORTO ALEGRE,"RUA MARIANTE,86 - LOJA 3 A 5",RIO BRANCO,PORTO ALEGRE,RS,90430-180,(51) 2139-6250
89,0178,SÃO LUIS,"MILLENNIUM CORPORATE TOWER - AV. DOS HOLANDESES, 10º ANDAR",CALHAU,SÃO LUIS,MA,65075-650,(98) 2109-9620
90,0189,JUIZ DE FORA,"AVENUE BARÃO DO RIO BRANCO, 2957",CENTRO,JUIZ DE FORA,MG,36010-012,(32) 3313-3100
91,0190,LEBLON,"AV. AFRÂNIO DE MELO FRANCO, 290",LEBLON,RIO DE JANEIRO,RJ,22430-060,(21) 3797-4300
92,0191,CENTRO OESTE,"AVENIDA REPÚBLICA DO LÍBANO, 2030",CENTRO,GOIÂNIA,GO,74115-030,(62) 4005-4220
93,0197,NOVA SUIÇA,"AV T63, 1509",NOVA SUIÇA,GOIÂNIA,GO,74280-235,(62) 3237-9800
94,0198,JK,"AV JUSCELINO KUBITSCHECK, 1327",VILA NOVA CONCEIÇÃO,SÃO PAULO,SP,04543-011,(11) 3217-2502
95,0199,COPACABANA,"AV. ATLÂNTICA, 1782",COPACABANA,RIO DE JANEIRO,RJ,22021-001,(21) 2545-1900
96,0200,SÍRIO LIBANÊS,"RUA BARATA RIBEIRO, 360",CERQUEIRA CÉSAR,SÃO PAULO,SP,01308-000,(11) 3122-6700
97,0201,MOGI DAS CRUZES,"AV. VOLUNTÁRIO FERNANDO PINHEIRO FRANCO, 249",CENTRO,MOGI DAS CRUZES,SP,08710-500,(11) 4736-9100
98,0202,SUMARÉ,"AV SUMARÉ, 1106",PERDIZES,SÃO PAULO,SP,05016-110,(11) 3866-8400
99,0203,GALEÃO,AV. VINTE DE JANEIRO S/N,GALEÃO,RIO DE JANEIRO,RJ,21941-900,(21) 2468-0000
100,0204,SAÚDE,"RUA CARNEIRO DA CUNHA, 39",SAÚDE,SÃO PAULO,SP,04144-000,(11) 5591-2160
101,0205,CUMBICA,"AEROPORTO INTERNACIONAL DE GUARULHOS, 2º ANDAR PISO TERMINAL",CUMBICA,GUARULHOS,SP,07190-100,(11) 2445-7137
102,0206,ANÁPOLIS,"PRAÇA DOM EMANUEL GOMES DE CARVALHO, 152",JUNDIAÍ,GOIÂNIA,GO,75113-020,(62) 3360-1500
103,0207,ARAÇATUBA,"RUA FLORIANO PEIXOTO, 73",CENTRO,ARAÇATUBA,SP,16010-220,(18) 3607-1350
104,0209,SÃO JOSÉ DOS PINHAIS,"RUA VISCONDE DO RIO BRANCO, 2156",CENTRO,SÃO JOSÉ DOS PINHAIS,PR,83005-420,(41) 3586-5000
105,0210,BOTAFOGO,"PRAIA DE BOTAFOGO, 440",BOTAFOGO,RIO DE JANEIRO,RJ,22250-908,(21) 3541-2450
106,0211,TAUBATÉ,"AVENIDA CHARLES SCHNNEIDER, 1555",PARQUE SENHOR DO BOMFIM,TAUBATÉ,SP,12040-000,(12) 3625-2192
107,0212,JOÃO PESSOA,"AVENIDA PRESIDENTE EPITÁCIO PESSOA, 2679",PEDRO GONDIM,JOÃO PESSOA,PB,58031-003,(83) 3133-4815
108,0214,MARÍLIA,"AVENIDA SAMPAIO VIDAL, 528",CENTRO,MARÍLIA,SP,17500-020,(14) 3592-1500
109,0216,AMERICANA,"AV. NOSSA SENHORA DE FÁTIMA, 240",JARDIM SANTANA,AMERICANA,SP,13478-540,(19) 2109-4555
110,0293,SINOP,"AV. BRUNO MARTINI, 422",JARDIM ITALIA,SINOP,MT,78555-326,(66) 3211-1360
111,0295,FRANCA,"RUA DAS CIÊNCIAS, 560",JD ITALIA,FRANCA,SP,78555-326,(66) 3211-1360
112,0296,RIO VERDE,"AV. PRESIDENTE VARGAS, 266",JARDIM MARCONAL,RIO VERDE,GO,75901-551,(64) 3053-9293
113,2026,POSTO DE ATENDIMENTO - HOSP. OSWALDO CRUZ,"RUA TREZE DE MAIO, 1815",PARAÍSO,SÃO PAULO,SP,04004-070,(11) 3265-2212
